rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,block,0.25,0.09711359540931971,387.8653436063328,0.2,0.15180873369900585,-0.0356125757827505,-0.0356125757827505,0.00416010573096636,0.0,46,False,0.21739130434782608
1,block,0.25,0.08730620157456,290.9335484533388,0.2,0.1331650156554956,0.02643381421262947,0.02643381421262947,0.0034312615992344343,0.0,52,False,0.19230769230769232
2,block,0.25,0.0012521143171831824,290.3078726398628,0.0,0.0587495527190313,0.16090628407244276,0.16090628407244276,0.000663236735760431,0.0,235,False,0.0425531914893617
3,block,0.25,0.0790008823452017,370.7362910338826,0.2,0.13273847702253322,0.22445139935280065,0.22445139935280065,0.0033118319089033683,0.0,57,False,0.17543859649122806
4,block,0.25,0.00057221718134129,269.4423422074683,0.0,0.080568417642823,-0.09415012630181466,-0.09415012630181466,0.0011955827688916085,0.0,253,False,0.039525691699604744
5,block,0.25,0.07407943034161457,258.36728976152,0.2,0.1174546888217058,0.14451680175728948,0.14451680175728948,0.0025083324878726948,0.0,60,False,0.16666666666666666
6,block,0.25,0.1260021123112891,295.0693266870231,0.1,0.1402020785802942,0.037040565949925865,0.037040565949925865,0.00366136882712744,0.0,34,False,0.29411764705882354
7,block,0.25,0.0663864926181876,280.7107471851,0.1,0.09922424209812677,0.03888059704217104,0.03888059704217104,0.001848346493746021,0.0,58,False,0.1724137931034483
8,block,0.25,0.00202951915487902,311.25182070495686,0.0,0.07541119154827175,-0.036031125141397745,-0.036031125141397745,0.0010363255309301291,0.0,212,False,0.04716981132075472
9,block,0.25,0.089196856579156,377.3056834347154,0.3,0.15037882861881866,0.04259496474906761,0.04259496474906761,0.00420461674827133,0.0,48,False,0.20833333333333334
