rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,block,0.5,0.09736859756178831,348.64911954194775,0.2,0.17643295944207843,-0.039879816624656325,-0.039879816624656325,0.0051047253631289115,0.0,43,False,0.23255813953488372
1,block,0.5,0.0878736690807793,237.12705598906786,0.4,0.1684768356442139,0.026030557021776847,0.026030557021776847,0.0051709687831999985,0.0,56,False,0.17857142857142858
2,block,0.5,0.13142982884712306,199.77196635538294,0.1,0.20361253913891927,0.11021223987261912,0.11021223987261912,0.008038026981999376,0.0,42,False,0.23809523809523808
3,block,0.5,0.10463667787792583,216.99488594917455,0.3,0.19847331339411664,0.24862287363326013,0.24862287363326013,0.007092521107155361,0.0,51,False,0.19607843137254902
4,block,0.5,0.091234623069443,228.042036680354,0.2,0.16029404309390177,-0.10480388619521616,-0.10480388619521616,0.005295073555417522,0.0,67,False,0.14925373134328357
5,block,0.5,0.03650348725266996,235.72898899516667,0.3,0.14116745485433985,0.12620535316539935,0.12620535316539935,0.0035486979961340944,0.0,115,False,0.08695652173913043
6,block,0.5,0.12588629947663882,220.8391820107189,0.1,0.16656303837253167,0.053353402686376686,0.053353402686376686,0.005045575059787778,0.0,40,False,0.25
7,block,0.5,0.1163813729119633,231.01559896131235,0.1,0.16442011914491844,0.04481278779398954,0.04481278779398954,0.005011327999326924,0.0,41,False,0.24390243902439024
8,block,0.5,0.1052470833116799,224.76596115269555,0.2,0.1746002366140152,-0.0035887131783190695,-0.0035887131783190695,0.00625027965634063,0.0,48,False,0.20833333333333334
9,block,0.5,0.08910366362327905,306.65720595298995,0.2,0.16073017870569925,0.02972952385568517,0.02972952385568517,0.004598154224755643,0.0,46,False,0.21739130434782608
