rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,block,0.5,0.1278279902494944,30.507879939070065,0.0,0.150677642087766,-0.037602907649408865,-0.037463714347768275,0.004783095130776798,0.0,32,False,0.3125
1,block,0.5,0.0717158448667203,25.124646455278842,0.2,0.15456422369241135,-0.05040819432448951,-0.05040819432448951,0.0043856184042882235,0.0,69,False,0.14492753623188406
2,block,0.5,0.15976863185060167,22.232788219648217,0.0,0.14042710541294645,-0.06310642585017825,-0.0682204377785352,0.004090986635148931,0.0,22,False,0.45454545454545453
3,block,0.5,0.07195350284640027,29.944266453787723,0.2,0.1518327936808007,0.005603618596859089,0.010890764628941663,0.004644806562357613,0.0,62,False,0.16129032258064516
4,block,0.5,0.09023448535095337,20.827636113872256,0.2,0.15002065430160877,-0.04162647802892604,-0.03830645149272506,0.0047585046838924385,0.0,51,False,0.19607843137254902
5,block,0.5,0.10907855497429801,25.761942826771698,0.3,0.1427238323426732,0.00509070154424208,0.00509070154424208,0.0038928076753883553,0.0,42,False,0.23809523809523808
6,block,0.5,0.11130274827981236,25.369264509975398,0.1,0.16673712862806755,-0.07446314764809592,-0.07446314764809592,0.005213886317540946,0.0,38,False,0.2631578947368421
7,block,0.5,0.08392979580186591,25.827566279882657,0.1,0.1440527113950869,-0.06904044068824125,-0.06904044068824125,0.004160854322033248,0.0,43,False,0.23255813953488372
8,block,0.5,0.08427300889606332,27.15775280250849,0.0,0.13440991689537102,-0.04652777925453806,-0.038776130774767395,0.003844954117833005,0.0,45,False,0.2222222222222222
9,block,0.5,0.09388905876349811,38.54987472770366,0.0,0.15826147379914285,-0.043622617534191166,-0.043622617534191166,0.004699025666991437,0.0,36,False,0.2777777777777778
