rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,block,0.75,0.001759925040153716,12.872905830950383,0.1,0.2047610003810699,-0.28387190757454933,-0.28387190757454933,0.007091788951164117,0.0,213,False,0.046948356807511735
1,block,0.75,0.002813125433851527,8.43996021020433,0.0,0.1521938177047753,0.0025210242283617568,0.0025210242283617568,0.004431131213303559,0.0,210,False,0.047619047619047616
2,block,0.75,0.0006725957576169429,11.060882000736305,0.0,0.1662086948732891,0.42107900341692284,0.42107900341692284,0.005379648112019259,0.0,253,False,0.039525691699604744
3,block,0.75,0.002272027063671423,16.05306367293061,0.1,0.19440590383111347,0.0037509119448235983,0.0037509119448235983,0.007054805967287661,0.0,215,False,0.046511627906976744
4,block,0.75,0.0010737714813068462,9.817042843433637,0.1,0.16286606922795324,-0.010135274222148416,-0.010135274222148416,0.004843970673150158,0.0,232,False,0.04310344827586207
5,block,0.75,0.0009086391407567221,10.039284362737291,0.0,0.18447187002608473,0.32947863820198264,0.32947863820198264,0.00899617511587118,0.0,221,False,0.04054054054054054
6,block,0.75,0.0010226478367805394,12.731652139878946,0.1,0.1615306157472332,-0.46878148484474613,-0.46878148484474613,0.004382480755946207,0.0,215,False,0.046511627906976744
7,block,0.75,0.0008838620633616337,8.281315956137481,0.1,0.1908707255507991,-0.029814563894552216,-0.029814563894552216,0.006478412244500624,0.0,230,False,0.043478260869565216
8,block,0.75,0.000852024993340773,13.267712282964833,0.1,0.13968427777828082,-0.3628480542084108,-0.3628480542084108,0.004196155851570909,0.0,233,False,0.04291845493562232
9,block,0.75,0.003956290076675315,15.066102925919008,0.0,0.19410178330647357,-0.020748929487443845,-0.020748929487443845,0.006261542834462124,0.0,208,False,0.04807692307692308
