rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,block,0.75,0.1279990425721555,27.42329433444789,0.1,0.15682005656743894,-0.035392428300142796,-0.0310257116416795,0.004871216129012047,0.0,33,False,0.2647058823529412
1,block,0.75,0.10904477940082163,20.47798708117008,0.0,0.19362888212177515,-0.059546183907117814,-0.059546183907117814,0.006952446869797592,0.0,45,False,0.2222222222222222
2,block,0.75,0.15789072900508397,15.299233120390578,0.0,0.1645326905031877,-0.06933366380072259,-0.07153349282329012,0.006102723216090178,0.0,29,False,0.3448275862068966
3,block,0.75,0.10800962018409388,17.526616198945337,0.2,0.20766687930098887,0.0040177557198413484,0.0040177557198413484,0.009341490938216387,0.0,50,False,0.17647058823529413
4,block,0.75,0.13728843220185302,17.627431975734492,0.1,0.148289147271857,-0.06938430253544202,-0.06938430253544202,0.005810098299513867,0.0,34,False,0.2571428571428571
5,block,0.75,0.1094475435550958,23.504665558521634,0.1,0.13952516815706367,-0.007035842450702279,-0.007035842450702279,0.003591823051628649,0.0,38,False,0.2631578947368421
6,block,0.75,0.11092989986071444,18.987156969179214,0.0,0.173249742798936,-0.06309246909433316,-0.05235893669212248,0.006235154843397407,0.0,41,False,0.24390243902439024
7,block,0.75,0.09560681233955567,21.255227146418243,0.2,0.18803806707381224,-0.06339599334673311,-0.06339599334673311,0.006614956216759153,0.0,45,False,0.2222222222222222
8,block,0.75,0.11129223354026464,19.611574954253495,0.0,0.1405542502688654,-0.038409867199315065,-0.048091720173684446,0.004651526783318082,0.0,45,False,0.2222222222222222
9,block,0.75,0.09349581985414859,31.331616227511333,0.0,0.16486407950956666,-0.055822091518530306,-0.055822091518530306,0.005197444296901941,0.0,44,False,0.22727272727272727
