rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,modified,0.75,0.1182375432712611,12.4362712627539,0.0,0.0834856204688024,0.0035763918220687667,-0.0007853501019723444,0.00321455177755728,0.0,28,False,0.26666666666666666
1,modified,0.75,0.12601680262102408,10.801688621560341,0.0,0.09920592183669971,0.007748990225282108,0.008929303601760679,0.0024422283243890385,0.0,28,False,0.26666666666666666
2,modified,0.75,0.14561738029180946,9.333455684208793,0.0,0.09273205315992895,0.014550855649372202,0.009690423540760922,0.002958285683880366,0.0,24,False,0.25925925925925924
3,modified,0.75,0.10873753175301992,10.916157623890815,0.0,0.08232045072446464,0.060498449382392516,0.06912155314778337,0.0018005312043343417,0.0,30,False,0.25
4,modified,0.75,0.12446892781525407,8.834647069890359,0.1,0.11681233751400762,-0.007142738341425646,-0.002386132475135068,0.0034835865173434453,0.0,32,False,0.2
5,modified,0.75,0.08979766418161873,9.276758208529158,0.1,0.09450536556753661,0.05097736247229898,0.03450857991588725,0.002695665254893899,0.0,54,False,0.18518518518518517
6,modified,0.75,0.143649051488237,9.447085324367041,0.0,0.10955920533146464,0.02081548867246035,0.03052733616102259,0.003242624829257923,0.0,17,False,0.42105263157894735
7,modified,0.75,0.10687045175494332,10.28661211661408,0.2,0.11582155022288199,0.012717536273466256,0.03098974819211512,0.0033667775975534955,0.0,35,False,0.25
8,modified,0.75,0.10567046068781401,8.795026943588766,0.0,0.1144217720662766,0.007411688282085075,0.01698669457069487,0.0038339990879995207,0.0,37,False,0.23684210526315788
9,modified,0.75,0.10723273067260793,15.417539658243776,0.0,0.0871224124432199,0.014494824783174065,0.023599323397203397,0.0022584364170575182,0.0,26,False,0.2857142857142857
