rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,modified,0.75,0.11210975527151142,348.64911954194775,0.2,0.14617915221743485,-0.03673333000119879,-0.03673333000119879,0.003963408038845505,0.0,32,False,0.3125
1,modified,0.75,0.10117733830154396,237.12705598906786,0.4,0.18799728320677636,0.028259594604391668,0.028259594604391668,0.006245140992706488,0.0,52,False,0.19230769230769232
2,modified,0.75,0.13142982884712306,199.77196635538294,0.0,0.18233733435717955,0.11021223987261912,0.11021223987261912,0.005797302966634197,0.0,42,False,0.23809523809523808
3,modified,0.75,0.07892870242637566,216.99488594917455,0.3,0.226117252108642,0.24679833437982301,0.24679833437982301,0.008927126203469273,0.0,67,False,0.14925373134328357
4,modified,0.75,0.091234623069443,228.042036680354,0.3,0.15414626476920898,-0.10480388619521616,-0.10480388619521616,0.0046946264072183505,0.0,67,False,0.14925373134328357
5,modified,0.75,0.11275356284950697,235.72898899516667,0.1,0.15406704615020606,0.1287594342077905,0.1287594342077905,0.004437306549477585,0.0,39,False,0.2564102564102564
6,modified,0.75,0.0949575471283702,220.8391820107189,0.1,0.17347430680876796,0.04496743336725199,0.04496743336725199,0.005887205456857785,0.0,55,False,0.18181818181818182
7,modified,0.75,0.08778786690129861,231.01559896131235,0.2,0.1632153538368584,0.04827851932698378,0.04827851932698378,0.004949072025532529,0.0,53,False,0.18867924528301888
8,modified,0.75,0.09140828891035015,224.76596115269555,0.2,0.22555481177050943,-0.002499892909495072,-0.002499892909495072,0.009074157994538134,0.0,65,False,0.15384615384615385
9,modified,0.75,0.10259354835897483,306.65720595298995,0.3,0.15939853857491287,0.03084226898956057,0.03084226898956057,0.0047359134458521005,0.0,38,False,0.2631578947368421
