rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,modified,0.75,0.11181614696634072,387.8653436063328,0.3,0.15133341141132986,-0.03276461751269494,-0.03276461751269494,0.004406284333359026,0.0,36,False,0.2777777777777778
1,modified,0.75,0.07582642906653364,290.9335484533388,0.4,0.1674956399577146,0.02452344774172378,0.02452344774172378,0.005187476498909584,0.0,62,False,0.16129032258064516
2,modified,0.75,0.13123574613028197,290.3078726398628,0.0,0.16894454018379285,0.11680195191780748,0.11680195191780748,0.005144320767214947,0.0,31,False,0.3225806451612903
3,modified,0.75,0.0790008823452017,370.7362910338826,0.3,0.1578191460895142,0.22445139935280065,0.22445139935280065,0.004690734371735438,0.0,57,False,0.17543859649122806
4,modified,0.75,0.09154666470772639,269.4423422074683,0.3,0.1530135176233085,-0.08893747791422649,-0.08893747791422649,0.004153325595126391,0.0,60,False,0.16666666666666666
5,modified,0.75,0.08529471528005907,258.36728976152,0.1,0.1332256225275877,0.14448439928318704,0.14448439928318704,0.003578855680165677,0.0,51,False,0.19607843137254902
6,modified,0.75,0.09504490614003469,295.0693266870231,0.1,0.1568641924950695,0.026814689398980695,0.026814689398980695,0.00439721714966366,0.0,51,False,0.19607843137254902
7,modified,0.75,0.07643710217800037,280.7107471851,0.1,0.1568334170837188,0.0354094878180671,0.0354094878180671,0.004557861211807025,0.0,54,False,0.18518518518518517
8,modified,0.75,0.07929209439214181,311.25182070495686,0.2,0.2020098486890977,-0.02024425865134849,-0.02024425865134849,0.006951582070934827,0.0,60,False,0.16666666666666666
9,modified,0.75,0.089196856579156,377.3056834347154,0.3,0.15657853468887245,0.04259496474906761,0.04259496474906761,0.004328327797916687,0.0,48,False,0.20833333333333334
