rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,modified,0.75,0.001759925040153716,12.872905830950383,0.1,0.18208806796065446,-0.28387190757454933,-0.28387190757454933,0.006523784029278924,0.0,213,False,0.046948356807511735
1,modified,0.75,0.0009107374154714791,8.43996021020433,0.1,0.18102147571233018,0.02813110026989115,0.02813110026989115,0.005989564803890139,0.0,229,False,0.043668122270742356
2,modified,0.75,0.0006725957576169429,11.060882000736305,0.0,0.16513337823428847,0.42107900341692284,0.42107900341692284,0.005211644601626733,0.0,253,False,0.039525691699604744
3,modified,0.75,0.0026160015082564558,16.05306367293061,0.1,0.18415587791176086,0.006530678763460229,0.006530678763460229,0.005823171065757641,0.0,216,False,0.046296296296296294
4,modified,0.75,0.0008099587204103676,9.817042843433637,0.2,0.22356970939669657,-0.009846476910816915,-0.009846476910816915,0.010964655279450647,0.0,237,False,0.04219409282700422
5,modified,0.75,0.0010462029263152268,10.039284362737291,0.0,0.16201809681013046,0.32922155218107746,0.32922155218107746,0.005570251548463525,0.0,219,False,0.04090909090909091
6,modified,0.75,0.0006699658014855763,12.731652139878946,0.0,0.14476560379741285,-0.46885712309838484,-0.46885712309838484,0.0038254968010455457,0.0,219,False,0.045662100456621
7,modified,0.75,0.0007676442548569171,8.281315956137481,0.0,0.16374047582801426,-0.029604364789496306,-0.029604364789496306,0.005819586394453388,0.0,230,False,0.043478260869565216
8,modified,0.75,0.0005581859042956091,13.267712282964833,0.0,0.13181867262900582,-0.37380449119056697,-0.37380449119056697,0.0036741747044303184,0.0,245,False,0.04081632653061224
9,modified,0.75,0.0016980136923090293,15.066102925919008,0.0,0.19842109334688604,-0.018377493430001966,-0.018377493430001966,0.006975413986791743,0.0,219,False,0.045662100456621
