rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,modified,0.75,0.11116862430320067,27.42329433444789,0.0,0.1125011275145706,-0.03351669524824176,-0.027346675926136786,0.0031797769101641,0.0,38,False,0.23076923076923078
1,modified,0.75,0.14456190340993547,20.47798708117008,0.0,0.15612117072784168,-0.0701790220640359,-0.0701790220640359,0.004881981645642363,0.0,27,False,0.37037037037037035
2,modified,0.75,0.15789072900508397,15.299233120390578,0.0,0.14267441520782215,-0.06933366380072259,-0.07153349282329012,0.004982383053313694,0.0,29,False,0.3448275862068966
3,modified,0.75,0.09380758360444919,17.526616198945337,0.2,0.20032755332274932,0.00915000400435766,0.00915000400435766,0.007197565464980753,0.0,58,False,0.15254237288135594
4,modified,0.75,0.10355831274082976,17.627431975734492,0.2,0.14987871668607614,-0.05895345277918339,-0.05895345277918339,0.0048493184837522406,0.0,49,False,0.18
5,modified,0.75,0.145095852426909,23.504665558521634,0.1,0.1478562779046751,-0.021413461118057652,-0.021413461118057652,0.004402268212541602,0.0,24,False,0.4166666666666667
6,modified,0.75,0.09634387971812905,18.987156969179214,0.2,0.1697266119894036,-0.06213523794752076,-0.050587156218642196,0.0063064894654337265,0.0,53,False,0.18867924528301888
7,modified,0.75,0.11008124387203144,21.255227146418243,0.2,0.174314149428814,-0.07106406901568547,-0.07106406901568547,0.005668867545015839,0.0,36,False,0.2777777777777778
8,modified,0.75,0.11129223354026464,19.611574954253495,0.1,0.20964945311713712,-0.038409867199315065,-0.048091720173684446,0.009484409742624603,0.0,45,False,0.2222222222222222
9,modified,0.75,0.1239484710158102,31.331616227511333,0.0,0.1635266423371032,-0.06449953892274043,-0.06449953892274043,0.004947494891255929,0.0,23,False,0.43478260869565216
