rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,modified,0.75,0.06316892873670994,30.507879939070065,0.2,0.13050592405948844,-0.02616012530904665,-0.03505192163402106,0.0035815974726693027,0.0,70,False,0.14285714285714285
1,modified,0.75,0.10946835413571362,25.124646455278842,0.0,0.1310878005870601,-0.06123491712351873,-0.06123491712351873,0.003081609184234907,0.0,43,False,0.23255813953488372
2,modified,0.75,0.1205153972406991,22.232788219648217,0.0,0.14409433191455956,-0.05536259211399602,-0.05711920350176418,0.005009732633746713,0.0,35,False,0.2857142857142857
3,modified,0.75,0.12645904574806802,29.944266453787723,0.1,0.12819765313073048,-0.011214014152043733,-0.009874512265462921,0.003488217557963036,0.0,22,False,0.45454545454545453
4,modified,0.75,0.10389557129367744,20.827636113872256,0.1,0.1421906065561683,-0.0479615776746872,-0.04524392793289558,0.004078362114794028,0.0,43,False,0.23255813953488372
5,modified,0.75,0.10907855497429801,25.761942826771698,0.1,0.13841724827908605,0.00509070154424208,0.00509070154424208,0.0036896015248788633,0.0,42,False,0.23809523809523808
6,modified,0.75,0.0966677028108008,25.369264509975398,0.2,0.1532212033747113,-0.07357886294005,-0.07357886294005,0.004781613890116378,0.0,48,False,0.20833333333333334
7,modified,0.75,0.1112666842061907,25.827566279882657,0.2,0.15035099265222834,-0.07891223659660576,-0.07891223659660576,0.0040788014464977086,0.0,30,False,0.3333333333333333
8,modified,0.75,0.11172168570598749,27.15775280250849,0.1,0.17738917095857606,-0.05539112172283578,-0.05103490506932322,0.006670801132506734,0.0,33,False,0.30303030303030304
9,modified,0.75,0.12446979230732705,38.54987472770366,0.0,0.1480361712870423,-0.05283467297765163,-0.04309573769937199,0.004387392260018951,0.0,21,False,0.47619047619047616
