rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,naive,0.25,0.0006418732471626875,12.4362712627539,0.0,0.011624586010204347,-0.020127392903337808,-0.020127392903337808,2.9959283383252495e-05,0.0,210,False,0.04265402843601896
1,naive,0.25,0.0006841043213308761,10.801688621560341,0.0,0.009893907579712048,-0.017956872718124333,-0.017956872718124333,2.0631773301135223e-05,0.0,207,False,0.04326923076923077
2,naive,0.25,0.0005962908039013089,9.333455684208793,0.0,0.006739702074174701,0.08644280682049864,0.08644280682049864,1.0127875093109463e-05,0.0,207,False,0.03827751196172249
3,naive,0.25,0.0005903007679603174,10.916157623890815,0.1,0.008440736494608867,0.027518136882913612,0.027518136882913612,1.551479066529257e-05,0.0,212,False,0.04225352112676056
4,naive,0.25,0.0006757014113896439,8.834647069890359,0.0,0.007330457234618004,0.026309216825174203,0.026309216825174203,1.4511560383817943e-05,0.0,209,False,0.037914691943127965
5,naive,0.25,0.0006462609238047973,9.276758208529158,0.0,0.0111626431407544,0.07877696742662257,0.07877696742662257,2.4759497980603603e-05,0.0,215,False,0.046511627906976744
6,naive,0.25,0.000588230664635843,9.447085324367041,0.0,0.008200626943058762,-0.06640653843279233,-0.06640653843279233,1.6263430979887767e-05,0.0,204,False,0.038834951456310676
7,naive,0.25,0.0006679993079717604,10.28661211661408,0.0,0.008517472831836317,0.02132453776762912,0.02132453776762912,1.511829648457342e-05,0.0,211,False,0.04245283018867924
8,naive,0.25,0.0006604987014968036,8.795026943588766,0.1,0.012849477643376466,0.014935573691887177,0.014935573691887177,3.2900392329890994e-05,0.0,207,False,0.04830917874396135
9,naive,0.25,0.0006702637511580549,15.417539658243776,0.0,0.011179317808254154,0.0027629110580861386,0.0027629110580861386,2.614855689662775e-05,0.0,207,False,0.04326923076923077
