rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,naive,0.25,0.0003513852542399826,0.4127487838049048,0.0,0.005929448498625936,-0.1621598531898582,-0.1621598531898582,9.107782938284623e-06,0.0,213,False,0.032407407407407406
1,naive,0.25,0.0003296365496644816,0.31335616897274987,0.0,0.003971617149699602,0.051278286636483005,0.051278286636483005,3.649067232228099e-06,0.0,222,False,0.03111111111111111
2,naive,0.25,0.00034091345382083923,0.3556095501075275,0.0,0.0041161953601442395,0.4022671710761589,0.4022671710761589,3.3152494883713346e-06,0.0,228,False,0.039301310043668124
3,naive,0.25,0.00034758758047046353,0.47267499200408924,0.0,0.004143215282793644,-0.13367743675020005,-0.13367743675020005,4.328613354701703e-06,0.0,222,False,0.03111111111111111
4,naive,0.25,0.0004295917790469847,0.32188745124902324,0.0,0.003702007911402172,0.018931600610148556,0.018931600610148556,4.389052652939883e-06,0.0,223,False,0.02643171806167401
5,naive,0.25,0.00040031489251168124,0.36046363959518624,0.0,0.003695250996184088,0.24940072940081165,0.24940072940081165,3.873549578912168e-06,0.0,219,False,0.03153153153153153
6,naive,0.25,0.00037152808170081195,0.4076228642131046,0.0,0.00603409123183161,-0.37668693843430995,-0.37668693843430995,6.929491350358727e-06,0.0,214,False,0.04672897196261682
7,naive,0.25,0.00039590964303619515,0.30346784335884885,0.0,0.0054819850962993895,0.008568415748760327,0.008568415748760327,5.959254931846408e-06,0.0,219,False,0.04090909090909091
8,naive,0.25,0.0003751652186908181,0.37490507443190985,0.0,0.003119947963744796,-0.15135925036771095,-0.15135925036771095,2.596114929307941e-06,0.0,222,False,0.03111111111111111
9,naive,0.25,0.0005812290345289225,0.6156340854476694,0.0,0.014763577154071245,0.07664533303130874,0.07664533303130874,4.6833864199368056e-05,0.0,211,False,0.04245283018867924
