rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,naive,0.25,0.0007989954905578798,30.507879939070065,0.0,0.012185232079210217,-0.039263624128956474,-0.039263624128956474,2.9851898110599663e-05,0.0,216,False,0.046296296296296294
1,naive,0.25,0.0007878280611848953,25.124646455278842,0.0,0.009897754453190999,-0.029919069965428247,-0.029919069965428247,1.84523851289685e-05,0.0,218,False,0.045871559633027525
2,naive,0.25,0.0007532877482480092,22.232788219648217,0.1,0.008862914360297545,0.017441649001670858,0.017441649001670858,1.4329703478576201e-05,0.0,215,False,0.046511627906976744
3,naive,0.25,0.0007904388318688958,29.944266453787723,0.0,0.014411787887735759,-0.011909873535874391,-0.011909873535874391,3.7165116719099535e-05,0.0,205,False,0.04878048780487805
4,naive,0.25,0.0007477215414832943,20.827636113872256,0.0,0.009246114912564257,0.00659883348931479,0.00659883348931479,1.4773150273547441e-05,0.0,215,False,0.046511627906976744
5,naive,0.25,0.0007850227324667079,25.761942826771698,0.1,0.013769153727955502,0.04624807382732354,0.04624807382732354,3.561558384534714e-05,0.0,220,False,0.045454545454545456
6,naive,0.25,0.0008010299330263453,25.369264509975398,0.0,0.016857288158160833,-0.1341677979203913,-0.1341677979203913,5.287413396993342e-05,0.0,209,False,0.04784688995215311
7,naive,0.25,0.0008007703850553897,25.827566279882657,0.2,0.015488918563385226,-0.05679382186178147,-0.05679382186178147,4.505106620163102e-05,0.0,209,False,0.04784688995215311
8,naive,0.25,0.0008040449656613681,27.15775280250849,0.0,0.01267032627294803,-0.010367638604471551,-0.010367638604471551,3.06584455063084e-05,0.0,217,False,0.04608294930875576
9,naive,0.25,0.000778004899945015,38.54987472770366,0.1,0.008245922408967956,-0.03651166241268823,-0.03651166241268823,1.5487975566037207e-05,0.0,217,False,0.04608294930875576
