rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,naive,0.75,0.0007007478466543396,348.64911954194775,0.0,0.012123872975035222,-0.0670463186912378,-0.0670463186912378,3.162028864100595e-05,0.0,224,False,0.044642857142857144
1,naive,0.75,0.0005492589314537528,237.12705598906786,0.0,0.010469840250636974,0.0634867952631454,0.0634867952631454,2.4894654334645914e-05,0.0,245,False,0.04081632653061224
2,naive,0.75,0.0006196740791862625,199.77196635538294,0.0,0.009257895945456712,0.14123544031095414,0.14123544031095414,1.7482706754007162e-05,0.0,228,False,0.043859649122807015
3,naive,0.75,0.0006540369883641418,216.99488594917455,0.0,0.011163608924846358,0.22712637867744565,0.22712637867744565,2.7945434052333414e-05,0.0,219,False,0.045662100456621
4,naive,0.75,0.0005702667488783521,228.042036680354,0.0,0.008340203011297277,-0.10021382959887362,-0.10021382959887362,1.2706543969459295e-05,0.0,248,False,0.04032258064516129
5,naive,0.75,0.0007047719993504862,235.72898899516667,0.1,0.01215899096695996,0.14351399346377922,0.14351399346377922,3.123208121743498e-05,0.0,229,False,0.043668122270742356
6,naive,0.75,0.0006833958621161977,220.8391820107189,0.0,0.009321649029269097,-0.06621138304305722,-0.06621138304305722,1.649863132019998e-05,0.0,228,False,0.043859649122807015
7,naive,0.75,0.0005487226204756071,231.01559896131235,0.1,0.011825392618477015,0.07254131303226936,0.07254131303226936,2.6030454145121615e-05,0.0,226,False,0.04424778761061947
8,naive,0.75,0.000571352256234589,224.76596115269555,0.0,0.006862040446800899,-0.015396727996067339,-0.015396727996067339,8.600227057598074e-06,0.0,237,False,0.04219409282700422
9,naive,0.75,0.0005569470762094513,306.65720595298995,0.0,0.0075086602578712915,0.03146124918588385,0.03146124918588385,1.207698274462405e-05,0.0,225,False,0.044444444444444446
