rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,naive,0.75,0.0006070135707560009,387.8653436063328,0.0,0.00645248043897495,-0.047871766010206304,-0.047871766010206304,7.936470809911654e-06,0.0,233,False,0.04291845493562232
1,naive,0.75,0.0006283302243736153,290.9335484533388,0.0,0.009395491125319733,0.033685486817054855,0.033685486817054855,1.7867421592263826e-05,0.0,237,False,0.04219409282700422
2,naive,0.75,0.0008202958456394004,290.3078726398628,0.0,0.015130295563737262,0.16104349940085178,0.16104349940085178,4.5010672283037966e-05,0.0,232,False,0.04310344827586207
3,naive,0.75,0.0006546351020449464,370.7362910338826,0.0,0.0065244828179729765,0.19233929259265015,0.19233929259265015,7.937758048360832e-06,0.0,217,False,0.04608294930875576
4,naive,0.75,0.00057221718134129,269.4423422074683,0.0,0.008645141083797681,-0.09415012630181466,-0.09415012630181466,1.4929761107046236e-05,0.0,253,False,0.039525691699604744
5,naive,0.75,0.0006138538456977093,258.36728976152,0.0,0.009322006482941713,0.15555392906095852,0.15555392906095852,1.550151912647173e-05,0.0,234,False,0.042735042735042736
6,naive,0.75,0.0007875827456959155,295.0693266870231,0.0,0.010086128227394176,-0.0811784853982975,-0.0811784853982975,1.761701814672416e-05,0.0,222,False,0.04504504504504504
7,naive,0.75,0.0005501068732323201,280.7107471851,0.0,0.01367985568775969,0.05821951214839451,0.05821951214839451,4.0187528879116866e-05,0.0,226,False,0.04424778761061947
8,naive,0.75,0.0005706538431627943,311.25182070495686,0.0,0.007365015353992599,-0.04901249012311335,-0.04901249012311335,9.731348866446045e-06,0.0,242,False,0.04132231404958678
9,naive,0.75,0.0005575295836192301,377.3056834347154,0.0,0.014470054702553114,0.028815166810437432,0.028815166810437432,5.6295146894221046e-05,0.0,223,False,0.04484304932735426
