rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,naive,0.75,0.0006560285527902013,12.872905830950383,0.0,0.006559801126215769,-0.24331425752891006,-0.24331425752891006,7.98404060870621e-06,0.0,234,False,0.042735042735042736
1,naive,0.75,0.0005181973881647082,8.43996021020433,0.0,0.00613436933379633,-0.0009825058915312267,-0.0009825058915312267,8.140327741274083e-06,0.0,253,False,0.039525691699604744
2,naive,0.75,0.0006725957576169429,11.060882000736305,0.0,0.009640416736280452,0.42107900341692284,0.42107900341692284,2.200625716708755e-05,0.0,253,False,0.039525691699604744
3,naive,0.75,0.0008469193814927194,16.05306367293061,0.0,0.048573892284806776,-0.018722895031147303,-0.018722895031147303,0.0005760813094343413,0.0,226,False,0.04424778761061947
4,naive,0.75,0.0005306270876182526,9.817042843433637,0.0,0.007307915690791411,-0.05302083905031653,-0.05302083905031653,1.0583271119527838e-05,0.0,257,False,0.038910505836575876
5,naive,0.75,0.0006853974132991335,10.039284362737291,0.0,0.011138065446612366,0.3308598113618707,0.3308598113618707,2.450350770696361e-05,0.0,222,False,0.04504504504504504
6,naive,0.75,0.0006699658014855763,12.731652139878946,0.0,0.009643897675066427,-0.46885712309838484,-0.46885712309838484,2.0531232342363912e-05,0.0,219,False,0.045662100456621
7,naive,0.75,0.0005029056728659373,8.281315956137481,0.0,0.004680218249539137,-0.02934295228871294,-0.02934295228871294,4.413192900751633e-06,0.0,233,False,0.04291845493562232
8,naive,0.75,0.0005581859042956091,13.267712282964833,0.0,0.00476720068723333,-0.37380449119056697,-0.37380449119056697,3.876437970638762e-06,0.0,245,False,0.04081632653061224
9,naive,0.75,0.0005497247235973504,15.066102925919008,0.0,0.05888884001957721,-0.028467841329106534,-0.028467841329106534,0.0012226950258240525,0.0,224,False,0.044642857142857144
