rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,wild,0.25,0.0005638697917155382,1.0125294049374747,0.0,0.04298597270027573,-0.28242665584982196,-0.28244119188164074,0.0003918072443902655,0.0,219,False,0.045662100456621
1,wild,0.25,0.0005318794532877392,0.7288640911483414,0.0,0.031446978461850114,-0.03192911967011318,-0.03210942608868359,0.00021777232089970492,0.0,215,False,0.041666666666666664
2,wild,0.25,0.0006651830436644196,0.8470808759291019,0.0,0.060889313580559414,0.2370255322791243,0.2370255322791243,0.0007098561647535925,0.0,221,False,0.04524886877828054
3,wild,0.25,0.00059679211663871,1.296601459439864,0.1,0.04843210256797656,-0.17375396879464494,-0.17375396879464494,0.0004629468429152345,0.0,216,False,0.041474654377880185
4,wild,0.25,0.0005187495409945282,0.7588480503182855,0.0,0.0617466799266965,-0.06866924521920105,-0.07168803789393766,0.0007396059414480424,0.0,222,False,0.04035874439461883
5,wild,0.25,0.0007034559168162556,1.001022497907011,0.0,0.044637164724684375,0.15581919320635704,0.15581919320635704,0.00040428693931758027,0.0,211,False,0.04245283018867924
6,wild,0.25,0.5838787165944573,1.0946330966084392,0.0,0.27390882503767683,-0.2626408975241999,-0.2626408975241999,0.028607858736047553,0.0,33,False,0.22857142857142856
7,wild,0.25,0.0006198890708491141,0.7619453080674341,0.0,0.024802188358791843,-0.11492761137329532,-0.11134504808687003,0.00014059552996860498,0.0,221,False,0.03587443946188341
8,wild,0.25,0.000732316285224605,1.1576518640741438,0.0,0.03783676805002007,-0.25445179800418016,-0.25445179800418016,0.0003116200621972751,0.0,210,False,0.03286384976525822
9,wild,0.25,0.0006398971973814011,1.539325819695376,0.0,0.049081478324732294,-0.10489565414062504,-0.10489565414062504,0.0005535362425134981,0.0,215,False,0.03686635944700461
