rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,wild,0.5,0.1182375432712611,12.4362712627539,0.0,0.08787806211757118,0.0035763918220687667,0.002105770901963215,0.0021510406456317294,0.0,28,False,0.26666666666666666
1,wild,0.5,0.09505598721704453,10.801688621560341,0.0,0.10180592809714373,0.0021798068778228303,0.005929986473656333,0.0028916683077080457,0.0,42,False,0.18181818181818182
2,wild,0.5,0.16766318172995912,9.333455684208793,0.0,0.10100006014413523,0.014814463077580848,0.01029441749506477,0.003554947894552049,0.0,16,False,0.3
3,wild,0.5,0.09443978308114667,10.916157623890815,0.0,0.08405744952510326,0.05599227261674563,0.06681792721654758,0.0022387717762539527,0.0,42,False,0.18181818181818182
4,wild,0.5,0.10810267948618424,8.834647069890359,0.3,0.09460424001399363,-0.006488654265266754,-0.0006578862723780069,0.0026293641019577768,0.0,42,False,0.15555555555555556
5,wild,0.5,0.08979766418161873,9.276758208529158,0.0,0.09605440694899786,0.05097736247229898,0.05443620500506752,0.0017890121710102,0.0,54,False,0.18518518518518517
6,wild,0.5,0.10835620423627813,9.447085324367041,0.1,0.10290051846234669,0.01755702814679132,0.014033762696303919,0.002943473010299409,0.0,34,False,0.2222222222222222
7,wild,0.5,0.09281820286711348,10.28661211661408,0.1,0.1034490791770839,0.012039455282816249,0.019459385538714374,0.0027993353291762037,0.0,42,False,0.20930232558139536
8,wild,0.5,0.10567046068781401,8.795026943588766,0.0,0.09170408040339433,0.007411688282085075,0.004605641966391948,0.0020631969007928845,0.0,37,False,0.23684210526315788
9,wild,0.5,0.0931328462275755,15.417539658243776,0.0,0.06970356123789176,0.012027859916629975,0.022923756464175875,0.0014825576880250798,0.0,36,False,0.21052631578947367
