rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,wild,0.75,0.11210975527151142,348.64911954194775,0.3,0.20294496728800748,-0.03673333000119879,-0.03673333000119879,0.007681825720249678,0.0,32,False,0.3125
1,wild,0.75,0.07631928104991939,237.12705598906786,0.3,0.17514878720283483,0.02351720347138784,0.02351720347138784,0.006101366506455061,0.0,68,False,0.14705882352941177
2,wild,0.75,0.13142982884712306,199.77196635538294,0.1,0.2640434679051841,0.11021223987261912,0.11021223987261912,0.011819126281911545,0.0,42,False,0.23809523809523808
3,wild,0.75,0.15971930513839325,216.99488594917455,0.3,0.21290912976816617,0.24991048546102052,0.24991048546102052,0.008192010703349177,0.0,32,False,0.3125
4,wild,0.75,0.10504712526143922,228.042036680354,0.2,0.18104406183698823,-0.10439136133508065,-0.10439136133508065,0.0061653208746198325,0.0,57,False,0.17543859649122806
5,wild,0.75,0.08505136621448317,235.72898899516667,0.3,0.16271257792135832,0.12980327573612843,0.12980327573612843,0.005133873394317706,0.0,51,False,0.19607843137254902
6,wild,0.75,0.10933368289492978,220.8391820107189,0.0,0.1828955992241813,0.049446556649427174,0.049446556649427174,0.006002205736931106,0.0,50,False,0.2
7,wild,0.75,0.13400097733813018,231.01559896131235,0.1,0.19082252874578895,0.04352528702751255,0.04352528702751255,0.006411101683818157,0.0,32,False,0.3125
8,wild,0.75,0.12118100751759553,224.76596115269555,0.2,0.17520322087442097,-0.005155056420666493,-0.005155056420666493,0.005460554738175713,0.0,40,False,0.25
9,wild,0.75,0.11812573958109897,306.65720595298995,0.1,0.16843046365407943,0.0320681813330476,0.0320681813330476,0.004931517804713707,0.0,29,False,0.3448275862068966
