rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,wild,0.75,0.17067817574972893,387.8653436063328,0.2,0.17561408782734916,-0.022190819427322227,-0.022190819427322227,0.005721335905347687,0.0,19,False,0.5263157894736842
1,wild,0.75,0.07582642906653364,290.9335484533388,0.3,0.14899285401153434,0.02452344774172378,0.02452344774172378,0.004279297402477867,0.0,62,False,0.16129032258064516
2,wild,0.75,0.13123574613028197,290.3078726398628,0.1,0.2193666371448514,0.11680195191780748,0.11680195191780748,0.008339720537855625,0.0,31,False,0.3225806451612903
3,wild,0.75,0.1598653676749033,370.7362910338826,0.3,0.17436350633880454,0.23499684675548033,0.23499684675548033,0.0054747578061591405,0.0,16,False,0.625
4,wild,0.75,0.12136445388489978,269.4423422074683,0.1,0.16125020172798482,-0.092818321239227,-0.092818321239227,0.004947394514408083,0.0,40,False,0.25
5,wild,0.75,0.07407943034161457,258.36728976152,0.3,0.1555654755288663,0.14451680175728948,0.14451680175728948,0.004425539258196338,0.0,60,False,0.16666666666666666
6,wild,0.75,0.10943426765904993,295.0693266870231,0.1,0.18041384096050936,0.03272394163947714,0.03272394163947714,0.006143972951772958,0.0,39,False,0.2564102564102564
7,wild,0.75,0.13433901921094696,280.7107471851,0.1,0.16352107993250126,0.03676788094452331,0.03676788094452331,0.004578218956822484,0.0,24,False,0.4166666666666667
8,wild,0.75,0.12103287753511979,311.25182070495686,0.2,0.14501049345598258,-0.023903238338186715,-0.023903238338186715,0.004084615514778969,0.0,23,False,0.43478260869565216
9,wild,0.75,0.11824928654189806,377.3056834347154,0.1,0.15709108236271643,0.043155097896913595,0.043155097896913595,0.004698574023263515,0.0,26,False,0.38461538461538464
