rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,wild,0.75,0.4297830390481042,12.872905830950383,0.2,0.559418730174255,-0.08874477930358485,-0.08874477930358485,0.06443338364055408,0.0,50,False,0.2
1,wild,0.75,0.0012073749427587,8.43996021020433,0.2,0.15881435615968267,0.02391856241677488,0.02391856241677488,0.004856019375135556,0.0,232,False,0.04310344827586207
2,wild,0.75,0.0005841570654272225,11.060882000736305,0.1,0.17436263830671397,0.4014136084463219,0.4014136084463219,0.005458568556222584,0.0,256,False,0.0390625
3,wild,0.75,0.41852328234866887,16.05306367293061,0.2,0.5864333968184747,0.20379150967356505,0.20379150967356505,0.07052165212520926,0.0,43,False,0.23255813953488372
4,wild,0.75,0.0010737714813068462,9.817042843433637,0.2,0.16675144097360922,-0.010135274222148416,-0.010135274222148416,0.005148806518516595,0.0,232,False,0.04310344827586207
5,wild,0.75,0.389981945830775,10.039284362737291,0.2,0.6040672296526515,0.2778716344614735,0.2778716344614735,0.07419948799260458,0.0,61,False,0.14516129032258066
6,wild,0.75,0.43891372867249756,12.731652139878946,0.1,0.6210826847639909,-0.019628570656719902,-0.019628570656719902,0.0689804306235853,0.0,55,False,0.18181818181818182
7,wild,0.75,0.0013491429340197723,8.281315956137481,0.1,0.16823926471891718,-0.03198910864956318,-0.03198910864956318,0.005440433382240035,0.0,224,False,0.044642857142857144
8,wild,0.75,0.0005581859042956091,13.267712282964833,0.0,0.13535241703240905,-0.37380449119056697,-0.37380449119056697,0.003192442456582751,0.0,245,False,0.04081632653061224
9,wild,0.75,0.31278600301080384,15.066102925919008,0.2,0.6699205937570849,0.027387461829583626,0.027387461829583626,0.07761420726189992,0.0,75,False,0.13333333333333333
