rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,wild,0.75,0.1279990425721555,27.42329433444789,0.0,0.16835897103791989,-0.035392428300142796,-0.0310257116416795,0.006452557730839423,0.0,33,False,0.2647058823529412
1,wild,0.75,0.10904477940082163,20.47798708117008,0.0,0.18186319587615124,-0.059546183907117814,-0.059546183907117814,0.006927891698558175,0.0,45,False,0.2222222222222222
2,wild,0.75,0.13712989395080802,15.299233120390578,0.1,0.22446139147558739,-0.06558740200710148,-0.06615475279496123,0.010027210325072339,0.0,39,False,0.2564102564102564
3,wild,0.75,0.081472953304595,17.526616198945337,0.2,0.16517637709972932,0.012603192987963896,0.012603192987963896,0.005205669937594687,0.0,67,False,0.1323529411764706
4,wild,0.75,0.11923656485180079,17.627431975734492,0.2,0.15670561065222616,-0.06310930029646797,-0.06310930029646797,0.0053361235874097145,0.0,40,False,0.21951219512195122
5,wild,0.75,0.1094475435550958,23.504665558521634,0.1,0.1361789221048363,-0.007035842450702279,-0.007035842450702279,0.003373260874633275,0.0,38,False,0.2631578947368421
6,wild,0.75,0.16932539224434395,18.987156969179214,0.0,0.16136281268027566,-0.0782108033636956,-0.07100352604284905,0.00502647134817471,0.0,22,False,0.45454545454545453
7,wild,0.75,0.09560681233955567,21.255227146418243,0.1,0.17770540232867976,-0.06339599334673311,-0.06339599334673311,0.005354710744759053,0.0,45,False,0.2222222222222222
8,wild,0.75,0.14754137890623759,19.611574954253495,0.1,0.14010694400483206,-0.05315376484926385,-0.06310967072961712,0.004212493658409012,0.0,27,False,0.32142857142857145
9,wild,0.75,0.10765065683632105,31.331616227511333,0.1,0.18082860823496202,-0.05979458433520268,-0.05979458433520268,0.005964047271391043,0.0,29,False,0.3448275862068966
