rep,method,lambda_val,threshold_val,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,modified,0.1,0.25,12.872905830950383,0.6,0.7871717339579918,-0.165791023762212,-0.165791023762212,0.05764607715108362,0.0,144,False,0.06944444444444445
1,modified,0.1,0.25,8.43996021020433,0.3,0.8449305638492832,-0.01537438351347784,-0.01537438351347784,0.06694400304540543,0.0,156,False,0.0641025641025641
2,modified,0.1,0.25,11.060882000736305,0.3,0.790089303217374,0.3582457744044293,0.3582457744044293,0.05866807026184373,0.0,137,False,0.06521739130434782
3,modified,0.1,0.25,16.05306367293061,0.3,0.7447679170987591,0.13737087004273973,0.13737087004273973,0.05255340477137819,0.0,133,False,0.07518796992481203
4,modified,0.1,0.25,9.817042843433637,0.4,0.8707801260988359,-0.051676924219337006,-0.051676924219337006,0.0694754913870492,0.0,157,False,0.06369426751592357
5,modified,0.1,0.25,10.039284362737291,0.3,0.7520311838822203,0.21627765655829082,0.21627765655829082,0.05458481551699804,0.0,144,False,0.06206896551724138
6,modified,0.1,0.25,12.731652139878946,0.3,0.8377276803533903,-0.19142328954103008,-0.19142328954103008,0.06487457754009346,0.0,133,False,0.07518796992481203
7,modified,0.1,0.25,8.281315956137481,0.4,0.9194235222118987,-0.013254793763209394,-0.013254793763209394,0.07833166819754947,0.0,154,False,0.06493506493506493
8,modified,0.1,0.25,13.267712282964833,0.4,0.810444711762147,-0.25989988807806397,-0.25989988807806397,0.059731951267119186,0.0,142,False,0.07042253521126761
9,modified,0.1,0.25,15.066102925919008,0.2,0.7768495791478085,0.04063226361823644,0.04063226361823644,0.05632801766843824,0.0,139,False,0.07194244604316546
10,modified,0.1,0.25,7.9791307626139085,0.2,0.8352157783674292,-0.41024583516222785,-0.41024583516222785,0.06872973140616397,0.0,154,False,0.05806451612903226
11,modified,0.1,0.25,10.302083421886454,0.4,0.7534237948792635,0.2781741950817029,0.2781741950817029,0.05835471432782659,0.0,141,False,0.06338028169014084
12,modified,0.1,0.25,9.742795567814525,0.4,0.7645856121774123,-0.11292798310339411,-0.10452675602148256,0.05663667362922435,0.0,153,False,0.06535947712418301
13,modified,0.1,0.25,11.146885211950078,0.4,0.8750858546844025,-0.1727631412962935,-0.1727631412962935,0.07052323505513126,0.0,145,False,0.06896551724137931
14,modified,0.1,0.25,11.738949710436701,0.5,0.7473454458542118,-0.03120051548653451,-0.03120051548653451,0.051844934282099166,0.0,138,False,0.07246376811594203
15,modified,0.1,0.25,9.394186594890426,0.3,0.8195269754137916,-0.023939847040413943,-0.023939847040413943,0.06320331839277897,0.0,159,False,0.06289308176100629
16,modified,0.1,0.25,10.588958710911246,0.3,0.8105940794865752,0.09068108283133149,0.09068108283133149,0.06075338912437291,0.0,142,False,0.07042253521126761
17,modified,0.1,0.25,9.003376219879865,0.4,0.7528349562808268,0.0028532301549831773,0.0028532301549831773,0.057360093163339385,0.0,150,False,0.059602649006622516
18,modified,0.1,0.25,10.233130689875232,0.3,0.8567206128062033,-0.10013122701297265,-0.10013122701297265,0.0709054306870026,0.0,147,False,0.06802721088435375
19,modified,0.1,0.25,10.152074142591767,0.6,0.8397946994888053,0.2265924959164738,0.2265924959164738,0.06470016018078696,0.0,150,False,0.06666666666666667
20,modified,0.1,0.25,9.293084228387555,0.3,0.841171047100859,0.11417600491832106,0.11417600491832106,0.06504335887449642,0.0,142,False,0.07042253521126761
21,modified,0.1,0.25,12.1433593156842,0.6,0.8159982300678974,-0.08882402491253344,-0.08882402491253344,0.06244402582300916,0.0,136,False,0.07352941176470588
22,modified,0.1,0.25,15.535512697929077,0.5,0.8128066426670426,0.04632808811932658,0.04632808811932658,0.06086980210862773,0.0,146,False,0.0684931506849315
23,modified,0.1,0.25,11.793385341700864,0.2,0.8098826197448347,-0.17425432509332486,-0.17425432509332486,0.06078387216410426,0.0,142,False,0.07042253521126761
